epoch,loss,raw_loss,weight,weighted_loss,raw_gradient_norm,weighted_gradient_norm,cosine_with_dense_gradient
20,spike_diversity,0.9715611338615417,0.0,0.0,0.009298634715378284,0.0,
20,structural,0.8924620747566223,0.03,0.026773862540721893,0.008789464831352234,0.0002636839053593576,
20,sample_diversity,0.9960847496986389,0.2,0.19921694695949554,0.0037307420279830694,0.0007461486966349185,
20,temporal_balance,0.00013532931916415691,0.0,0.0,0.00018115660350304097,0.0,
20,spatial_compactness,0.24022698402404785,0.0,0.0,0.05634450912475586,0.0,
20,edge_membrane,0.05276089534163475,0.05,0.0026380447670817375,0.006007465533912182,0.0003003734163939953,
20,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,
20,dendritic_cancellation_loss,0.023762043565511703,0.05,0.0011881021782755852,0.0025591785088181496,0.00012795890506822616,
20,total,0.23035100102424622,1.0,0.23035100102424622,0.0006388734909705818,0.0006388734909705818,
30,spike_rate,0.007894228212535381,0.2,0.0015788456657901406,0.011589677073061466,0.002317935461178422,
30,spike_smooth,0.004944322165101767,0.0,0.0,0.002238835208117962,0.0,
30,spike_diversity,0.9734545946121216,0.0,0.0,0.007206489332020283,0.0,
30,structural,0.8942738175392151,0.03,0.026828214526176453,0.00682189641520381,0.00020465694251470268,
30,sample_diversity,0.9047430157661438,0.2,0.18094860017299652,0.056922394782304764,0.011384477838873863,
30,temporal_balance,1.9129547581542283e-05,0.0,0.0,4.9798971303971484e-05,0.0,
30,spatial_compactness,0.17318370938301086,0.0,0.0,0.04557440057396889,0.0,
30,edge_membrane,0.03240716829895973,0.05,0.001620358438231051,0.007536068093031645,0.00037680339301005006,
30,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,
30,dendritic_cancellation_loss,0.023164112120866776,0.05,0.0011582056758925319,0.004459337331354618,0.00022296688985079527,
30,total,0.2121342122554779,1.0,0.2121342122554779,0.00931639689952135,0.00931639689952135,
50,spike_rate,0.05081107094883919,0.2,0.010162214748561382,0.004561613779515028,0.0009123224881477654,
50,spike_smooth,0.007376604713499546,0.0,0.0,0.002073364332318306,0.0,
50,spike_diversity,0.9842221140861511,0.0,0.0,0.005801894702017307,0.0,
50,structural,0.9046900272369385,0.03,0.027140699326992035,0.0054386272095143795,0.00016315879474859685,
50,sample_diversity,0.10370387136936188,0.2,0.020740775391459465,0.007653399836272001,0.0015306799905374646,
50,temporal_balance,1.580460047989618e-05,0.0,0.0,5.321651315171039e-06,0.0,
50,spatial_compactness,0.013177009299397469,0.0,0.0,0.008457530289888382,0.0,
50,edge_membrane,0.03207794576883316,0.05,0.0016038973117247224,0.06957118213176727,0.0034785575699061155,
50,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,
50,dendritic_cancellation_loss,0.002006066730245948,0.05,0.00010030333942268044,0.015243515372276306,0.0007621754775755107,
50,total,0.05974788963794708,1.0,0.05974788963794708,0.003574900096282363,0.003574900096282363,
